,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.906,0.899,0.901,0.888,0.886,0.884,0.896,0.889,0.894,0.896,0.894,0.893,0.907,0.907,0.907
1,0.823,0.719,0.81,0.805,0.706,0.795,0.831,0.759,0.827,0.821,0.766,0.81,0.838,0.778,0.832
2,0.818,0.779,0.818,0.825,0.787,0.83,0.822,0.764,0.83,0.819,0.792,0.817,0.829,0.802,0.83
3,0.873,0.868,0.834,0.87,0.867,0.825,0.873,0.861,0.832,0.874,0.866,0.831,0.887,0.878,0.849
4,0.706,0.701,0.677,0.716,0.71,0.675,0.692,0.69,0.69,0.696,0.703,0.663,0.701,0.712,0.682
5,0.915,0.912,0.912,0.922,0.919,0.929,0.919,0.913,0.916,0.906,0.906,0.903,0.917,0.917,0.92
6,0.949,0.94,0.945,0.938,0.931,0.933,0.959,0.947,0.953,0.959,0.956,0.954,0.964,0.962,0.961
7,0.92,0.91,0.914,0.91,0.901,0.904,0.608,0.595,0.603,0.929,0.925,0.924,0.931,0.929,0.929
8,0.937,0.927,0.931,0.939,0.936,0.935,0.923,0.904,0.92,0.926,0.918,0.924,0.952,0.95,0.949
9,0.829,0.782,0.822,0.832,0.793,0.824,0.846,0.818,0.848,0.844,0.816,0.84,0.864,0.829,0.859
10,0.9,0.859,0.888,0.9,0.863,0.888,0.899,0.86,0.889,0.891,0.863,0.875,0.904,0.867,0.891
11,0.838,0.805,0.829,0.838,0.809,0.83,0.869,0.829,0.871,0.857,0.839,0.853,0.864,0.846,0.863
12,0.937,0.932,0.925,0.943,0.941,0.935,0.941,0.936,0.931,0.939,0.935,0.928,0.946,0.943,0.935
13,0.764,0.773,0.762,0.769,0.777,0.767,0.71,0.721,0.707,0.75,0.761,0.751,0.779,0.787,0.78
14,0.882,0.88,0.888,0.882,0.88,0.887,0.773,0.773,0.783,0.882,0.881,0.888,0.889,0.887,0.897
15,0.886,0.879,0.865,0.924,0.924,0.905,0.901,0.894,0.877,0.916,0.919,0.89,0.922,0.925,0.893
16,0.846,0.834,0.824,0.833,0.823,0.807,0.843,0.831,0.814,0.832,0.826,0.809,0.848,0.841,0.826
17,0.953,0.941,0.946,0.952,0.94,0.944,0.956,0.943,0.948,0.952,0.946,0.943,0.959,0.954,0.952
18,0.855,0.843,0.854,0.836,0.831,0.832,0.841,0.83,0.83,0.835,0.825,0.829,0.849,0.839,0.849
19,0.94,0.94,0.939,0.951,0.949,0.952,0.888,0.886,0.885,0.952,0.952,0.953,0.961,0.96,0.961
