,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.479,0.466,0.474,0.46,0.445,0.464,0.437,0.408,0.438,0.444,0.428,0.44,0.317,0.297,0.323
1,0.468,0.418,0.44,0.431,0.376,0.409,0.277,0.23,0.268,0.456,0.409,0.425,0.315,0.274,0.29
2,0.468,0.444,0.468,0.392,0.373,0.396,0.366,0.338,0.369,0.445,0.429,0.442,0.36,0.346,0.352
3,0.41,0.397,0.344,0.415,0.402,0.356,0.39,0.362,0.321,0.388,0.378,0.322,0.311,0.294,0.248
4,0.428,0.433,0.39,0.422,0.433,0.369,0.319,0.307,0.291,0.431,0.435,0.369,0.372,0.369,0.32
5,0.451,0.435,0.423,0.227,0.207,0.215,0.437,0.416,0.406,0.368,0.356,0.34,0.255,0.24,0.232
6,0.48,0.456,0.467,0.334,0.306,0.323,0.27,0.209,0.259,0.314,0.293,0.302,0.204,0.185,0.193
7,0.493,0.476,0.485,0.508,0.493,0.502,0.839,0.829,0.836,0.367,0.35,0.353,0.306,0.293,0.296
8,0.37,0.346,0.364,0.304,0.287,0.294,0.289,0.241,0.284,0.291,0.273,0.281,0.196,0.183,0.19
9,0.479,0.458,0.483,0.485,0.465,0.485,0.326,0.319,0.337,0.412,0.401,0.4,0.324,0.308,0.314
10,0.343,0.323,0.331,0.344,0.332,0.333,0.34,0.324,0.325,0.447,0.436,0.422,0.302,0.288,0.288
11,0.542,0.503,0.518,0.519,0.478,0.497,0.327,0.264,0.318,0.439,0.396,0.419,0.356,0.316,0.335
12,0.419,0.409,0.398,0.294,0.296,0.279,0.378,0.365,0.355,0.409,0.399,0.378,0.314,0.304,0.291
13,0.429,0.437,0.429,0.44,0.448,0.435,0.558,0.567,0.537,0.461,0.47,0.445,0.35,0.36,0.344
14,0.418,0.419,0.418,0.418,0.421,0.416,0.714,0.715,0.718,0.403,0.404,0.403,0.308,0.306,0.309
15,0.587,0.581,0.556,0.361,0.347,0.334,0.56,0.556,0.525,0.337,0.326,0.295,0.221,0.207,0.177
16,0.367,0.363,0.346,0.422,0.421,0.386,0.383,0.383,0.362,0.449,0.45,0.407,0.328,0.337,0.294
17,0.397,0.366,0.37,0.393,0.362,0.367,0.353,0.313,0.326,0.375,0.345,0.345,0.264,0.229,0.236
18,0.417,0.395,0.383,0.463,0.45,0.438,0.442,0.422,0.412,0.457,0.441,0.424,0.375,0.364,0.341
19,0.404,0.402,0.396,0.271,0.271,0.255,0.626,0.624,0.613,0.246,0.247,0.23,0.139,0.14,0.129
